Player,No,Pos,DOB/Age,Caps,Club,Country,ClubCountry,Year,Gols
Steven Lustü,13,2DF,(1971-04-13)13 April 1971 (aged 31),4,Lyn,Denmark,Norway,2002,0
Claus Jensen,14,3MF,(1977-04-29)29 April 1977 (aged 25),13,Charlton Athletic,Denmark,England,2002,0
Jan Michaelsen,15,3MF,(1970-11-28)28 November 1970 (aged 31),11,Panathinaikos,Denmark,Greece,2002,0
Peter Kjær,16,1GK,(1965-11-05)5 November 1965 (aged 36),4,Aberdeen,Denmark,Scotland,2002,0
Christian Poulsen,17,3MF,(1980-02-28)28 February 1980 (aged 22),3,Copenhagen,Denmark,Denmark,2002,0
Peter Løvenkrands,18,4FW,(1980-01-29)29 January 1980 (aged 22),4,Rangers,Denmark,Scotland,2002,0
Dennis Rommedahl,19,3MF,(1978-07-22)22 July 1978 (aged 23),19,PSV Eindhoven,Denmark,Netherlands,2002,0
Kasper Bøgelund,20,2DF,(1980-10-08)8 October 1980 (aged 21),2,PSV Eindhoven,Denmark,Netherlands,2002,0
Peter Madsen,21,4FW,(1978-04-26)26 April 1978 (aged 24),4,Brøndby,Denmark,Denmark,2002,0
Jesper Christiansen,22,1GK,(1978-04-24)24 April 1978 (aged 24),0,Vejle,Denmark,Denmark,2002,0
Brian Steen Nielsen,23,3MF,(1968-12-28)28 December 1968 (aged 33),65,Malmö FF,Denmark,Sweden,2002,0
Ulrich Ramé,1,1GK,(1972-09-19)19 September 1972 (aged 29),11,Bordeaux,France,France,2002,0
Vincent Candela,2,2DF,(1973-10-24)24 October 1973 (aged 28),36,Roma,France,Italy,2002,0
Bixente Lizarazu,3,2DF,(1969-12-09)9 December 1969 (aged 32),74,Bayern Munich,France,Germany,2002,0
Patrick Vieira,4,3MF,(1976-06-23)23 June 1976 (aged 25),52,Arsenal,France,England,2002,0
Philippe Christanval,5,2DF,(1978-08-31)31 August 1978 (aged 23),4,Barcelona,France,Spain,2002,0
Youri Djorkaeff,6,3MF,(1968-03-09)9 March 1968 (aged 34),79,Bolton Wanderers,France,England,2002,0
Claude Makélélé,7,3MF,(1973-02-18)18 February 1973 (aged 29),14,Real Madrid,France,Spain,2002,0
Marcel Desailly (c),8,2DF,(1968-09-07)7 September 1968 (aged 33),93,Chelsea,France,England,2002,0
Djibril Cissé,9,4FW,(1981-08-12)12 August 1981 (aged 20),1,Auxerre,France,France,2002,0
Zinedine Zidane,10,3MF,(1972-06-23)23 June 1972 (aged 29),73,Real Madrid,France,Spain,2002,0
Sylvain Wiltord,11,4FW,(1974-05-10)10 May 1974 (aged 28),38,Arsenal,France,England,2002,0
Thierry Henry,12,4FW,(1977-08-17)17 August 1977 (aged 24),35,Arsenal,France,England,2002,0
Mikaël Silvestre,13,2DF,(1977-08-09)9 August 1977 (aged 24),10,Manchester United,France,England,2002,0
Alain Boghossian,14,3MF,(1970-10-27)27 October 1970 (aged 31),26,Parma,France,Italy,2002,0
Lilian Thuram,15,2DF,(1972-01-01)1 January 1972 (aged 30),73,Juventus,France,Italy,2002,0
Fabien Barthez,16,1GK,(1971-06-28)28 June 1971 (aged 30),47,Manchester United,France,England,2002,0
Emmanuel Petit,17,3MF,(1970-09-22)22 September 1970 (aged 31),57,Chelsea,France,England,2002,0
Frank Leboeuf,18,2DF,(1968-01-22)22 January 1968 (aged 34),47,Marseille,France,France,2002,0
Willy Sagnol,19,2DF,(1977-03-18)18 March 1977 (aged 25),9,Bayern Munich,France,Germany,2002,0
David Trezeguet,20,4FW,(1977-10-15)15 October 1977 (aged 24),36,Juventus,France,Italy,2002,0
Christophe Dugarry,21,4FW,(1972-03-24)24 March 1972 (aged 30),51,Bordeaux,France,France,2002,0
Johan Micoud,22,3MF,(1973-07-24)24 July 1973 (aged 28),14,Parma,France,Italy,2002,0
Grégory Coupet,23,1GK,(1972-12-31)31 December 1972 (aged 29),1,Lyon,France,France,2002,0
Tony Sylva,1,1GK,(1975-05-17)17 May 1975 (aged 27),15,Monaco,Senegal,Monaco,2002,0
Omar Daf,2,2DF,(1977-02-12)12 February 1977 (aged 25),31,Sochaux,Senegal,France,2002,0
Pape Sarr,3,3MF,(1977-12-07)7 December 1977 (aged 24),22,Lens,Senegal,France,2002,0
Pape Malick Diop,4,2DF,(1974-12-29)29 December 1974 (aged 27),25,Lorient,Senegal,France,2002,0
Alassane N'Dour,5,2DF,(1981-12-12)12 December 1981 (aged 20),7,Saint-Étienne,Senegal,France,2002,0
Aliou Cissé (c),6,2DF,(1976-03-24)24 March 1976 (aged 26),20,Montpellier,Senegal,France,2002,0
Henri Camara,7,4FW,(1977-05-10)10 May 1977 (aged 25),34,Sedan,Senegal,France,2002,0
Amara Traoré,8,4FW,(1965-09-25)25 September 1965 (aged 36),12,Gueugnon,Senegal,France,2002,0
Souleymane Camara,9,4FW,(1982-12-22)22 December 1982 (aged 19),9,Monaco,Senegal,Monaco,2002,0
Khalilou Fadiga,10,3MF,(1974-12-30)30 December 1974 (aged 27),25,Auxerre,Senegal,France,2002,0
El Hadji Diouf,11,4FW,(1981-01-15)15 January 1981 (aged 21),21,Lens,Senegal,France,2002,0
Amdy Faye,12,3MF,(1977-03-12)12 March 1977 (aged 25),6,Auxerre,Senegal,France,2002,0
Lamine Diatta,13,2DF,(1975-07-02)2 July 1975 (aged 26),19,Rennes,Senegal,France,2002,0
Moussa N'Diaye,14,3MF,(1979-02-20)20 February 1979 (aged 23),38,Sedan,Senegal,France,2002,0
Salif Diao,15,3MF,(1977-02-10)10 February 1977 (aged 25),20,Sedan,Senegal,France,2002,0
Omar Diallo,16,1GK,(1972-09-28)28 September 1972 (aged 29),42,Olympique Khouribga,Senegal,Morocco,2002,0
Ferdinand Coly,17,2DF,(1973-09-10)10 September 1973 (aged 28),16,Lens,Senegal,France,2002,0
Pape Thiaw,18,4FW,(1981-02-05)5 February 1981 (aged 21),13,Strasbourg,Senegal,France,2002,0
Papa Bouba Diop,19,3MF,(1978-01-28)28 January 1978 (aged 24),12,Lens,Senegal,France,2002,0
Sylvain N'Diaye,20,3MF,(1976-06-25)25 June 1976 (aged 25),6,Lille,Senegal,France,2002,0
Habib Beye,21,2DF,(1977-10-19)19 October 1977 (aged 24),6,Strasbourg,Senegal,France,2002,0
Kalidou Cissokho,22,1GK,(1978-08-28)28 August 1978 (aged 23),0,ASC Jeanne d'Arc,Senegal,Senegal,2002,0
Makhtar N'Diaye,23,3MF,(1981-12-31)31 December 1981 (aged 20),11,Rennes,Senegal,France,2002,0
Fabián Carini,1,1GK,(1979-12-26)26 December 1979 (aged 22),35,Juventus,Uruguay,Italy,2002,0
Gustavo Méndez,2,2DF,(1971-02-03)3 February 1971 (aged 31),44,Nacional,Uruguay,Uruguay,2002,0
Alejandro Lembo,3,2DF,(1978-02-15)15 February 1978 (aged 24),30,Nacional,Uruguay,Uruguay,2002,0
Paolo Montero (c),4,2DF,(1971-09-03)3 September 1971 (aged 30),44,Juventus,Uruguay,Italy,2002,0
Pablo García,5,3MF,(1977-05-11)11 May 1977 (aged 25),35,Venezia,Uruguay,Italy,2002,0
Darío Rodríguez,6,2DF,(1974-09-17)17 September 1974 (aged 27),20,Peñarol,Uruguay,Uruguay,2002,0
Gianni Guigou,7,3MF,(1975-02-22)22 February 1975 (aged 27),35,Roma,Uruguay,Italy,2002,0
Gustavo Varela,8,4FW,(1978-05-14)14 May 1978 (aged 24),8,Nacional,Uruguay,Uruguay,2002,0
Darío Silva,9,4FW,(1972-11-02)2 November 1972 (aged 29),36,Málaga,Uruguay,Spain,2002,0
Fabián O'Neill,10,3MF,(1973-10-14)14 October 1973 (aged 28),19,Perugia,Uruguay,Italy,2002,0
Federico Magallanes,11,4FW,(1976-08-22)22 August 1976 (aged 25),24,Venezia,Uruguay,Italy,2002,0
Gustavo Munúa,12,1GK,(1978-01-27)27 January 1978 (aged 24),8,Nacional,Uruguay,Uruguay,2002,0
Sebastián Abreu,13,4FW,(1976-10-17)17 October 1976 (aged 25),13,Cruz Azul,Uruguay,Mexico,2002,0
Gonzalo Sorondo,14,2DF,(1979-10-09)9 October 1979 (aged 22),18,Inter Milan,Uruguay,Italy,2002,0
Nicolás Olivera,15,4FW,(1978-05-30)30 May 1978 (aged 24),25,Sevilla,Uruguay,Spain,2002,0
Marcelo Romero,16,3MF,(1976-07-04)4 July 1976 (aged 25),21,Málaga,Uruguay,Spain,2002,0
Mario Regueiro,17,3MF,(1978-09-14)14 September 1978 (aged 23),14,Racing Santander,Uruguay,Spain,2002,0
Richard Morales,18,4FW,(1975-02-21)21 February 1975 (aged 27),12,Nacional,Uruguay,Uruguay,2002,0
Joe Bizera,19,2DF,(1980-05-17)17 May 1980 (aged 22),9,Peñarol,Uruguay,Uruguay,2002,0
Álvaro Recoba,20,3MF,(1976-03-17)17 March 1976 (aged 26),42,Inter Milan,Uruguay,Italy,2002,0
Diego Forlán,21,4FW,(1979-05-19)19 May 1979 (aged 23),4,Manchester United,Uruguay,England,2002,0
Gonzalo de los Santos,22,3MF,(1976-07-19)19 July 1976 (aged 25),29,Valencia,Uruguay,Spain,2002,0
Federico Elduayen,23,1GK,(1977-06-25)25 June 1977 (aged 24),1,Peñarol,Uruguay,Uruguay,2002,0
José Luis Chilavert (c),1,1GK,(1965-07-27)27 July 1965 (aged 36),69,Strasbourg,Paraguay,France,2002,0
Francisco Arce,2,2DF,(1971-04-02)2 April 1971 (aged 31),51,Palmeiras,Paraguay,Brazil,2002,0
Pedro Sarabia,3,2DF,(1975-07-05)5 July 1975 (aged 26),40,River Plate,Paraguay,Argentina,2002,0
Carlos Gamarra,4,2DF,(1971-02-17)17 February 1971 (aged 31),76,AEK Athens,Paraguay,Greece,2002,0
Celso Ayala,5,2DF,(1970-08-20)20 August 1970 (aged 31),76,River Plate,Paraguay,Argentina,2002,0
Estanislao Struway,6,3MF,(1968-06-25)25 June 1968 (aged 33),69,Libertad,Paraguay,Paraguay,2002,0
Richart Báez,7,4FW,(1973-07-31)31 July 1973 (aged 28),25,Olimpia,Paraguay,Paraguay,2002,0
Guido Alvarenga,8,3MF,(1970-08-24)24 August 1970 (aged 31),18,Léon,Paraguay,Mexico,2002,0
Roque Santa Cruz,9,4FW,(1981-08-16)16 August 1981 (aged 20),24,Bayern Munich,Paraguay,Germany,2002,0
Roberto Acuña,10,3MF,(1972-03-25)25 March 1972 (aged 30),77,Zaragoza,Paraguay,Spain,2002,0
Jorge Luis Campos,11,4FW,(1970-08-11)11 August 1970 (aged 31),31,Universidad Católica,Paraguay,Chile,2002,0
Justo Villar,12,1GK,(1977-06-30)30 June 1977 (aged 24),8,Libertad,Paraguay,Paraguay,2002,0
Carlos Paredes,13,3MF,(1976-07-16)16 July 1976 (aged 25),41,Porto,Paraguay,Portugal,2002,0
Diego Gavilán,14,3MF,(1980-03-01)1 March 1980 (aged 22),21,Tecos,Paraguay,Mexico,2002,0
Carlos Bonet,15,3MF,(1977-10-02)2 October 1977 (aged 24),3,Libertad,Paraguay,Paraguay,2002,0
Gustavo Morínigo,16,3MF,(1977-01-23)23 January 1977 (aged 25),11,Libertad,Paraguay,Paraguay,2002,0
Juan Carlos Franco,17,2DF,(1973-04-17)17 April 1973 (aged 29),3,Olimpia,Paraguay,Paraguay,2002,0
Julio César Cáceres,18,2DF,(1979-10-05)5 October 1979 (aged 22),1,Olimpia,Paraguay,Paraguay,2002,0
Daniel Sanabria,19,2DF,(1977-02-08)8 February 1977 (aged 25),6,Libertad,Paraguay,Paraguay,2002,0
José Cardozo,20,4FW,(1971-03-19)19 March 1971 (aged 31),57,Toluca,Paraguay,Mexico,2002,0
Denis Caniza,21,2DF,(1974-08-29)29 August 1974 (aged 27),49,Santos Laguna,Paraguay,Mexico,2002,0
Ricardo Tavarelli,22,1GK,(1970-08-02)2 August 1970 (aged 31),20,Olimpia,Paraguay,Paraguay,2002,0
Nelson Cuevas,23,4FW,(1980-01-10)10 January 1980 (aged 22),11,River Plate,Paraguay,Argentina,2002,0
Marko Simeunovič,1,1GK,(1967-12-06)6 December 1967 (aged 34),43,Maribor,Slovenia,Slovenia,2002,0
Goran Sankovič,2,2DF,(1979-06-18)18 June 1979 (aged 22),5,Slavia Prague,Slovenia,Czech Republic,2002,0
Željko Milinovič,3,2DF,(1969-10-12)12 October 1969 (aged 32),35,JEF United Ichihara,Slovenia,Japan,2002,0
Muamer Vugdalić,4,2DF,(1977-08-25)25 August 1977 (aged 24),13,Maribor,Slovenia,Slovenia,2002,0
Marinko Galič,5,2DF,(1970-04-22)22 April 1970 (aged 32),65,Koper,Slovenia,Slovenia,2002,0
Aleksander Knavs,6,2DF,(1975-12-05)5 December 1975 (aged 26),38,1. FC Kaiserslautern,Slovenia,Germany,2002,0
Džoni Novak,7,3MF,(1969-09-04)4 September 1969 (aged 32),68,SpVgg Unterhaching,Slovenia,Germany,2002,0
Aleš Čeh (c),8,3MF,(1968-04-07)7 April 1968 (aged 34),71,Grazer AK,Slovenia,Austria,2002,0
Milan Osterc,9,4FW,(1975-07-04)4 July 1975 (aged 26),41,Hapoel Tel Aviv,Slovenia,Israel,2002,0
Zlatko Zahovič*,10,3MF,(1971-02-01)1 February 1971 (aged 31),64,Benfica,Slovenia,Portugal,2002,0
Miran Pavlin,11,3MF,(1971-10-08)8 October 1971 (aged 30),45,Porto,Slovenia,Portugal,2002,0
Mladen Dabanovič,12,1GK,(1971-09-13)13 September 1971 (aged 30),20,Lokeren SNW,Slovenia,Belgium,2002,0
Mladen Rudonja,13,4FW,(1971-07-26)26 July 1971 (aged 30),58,Portsmouth,Slovenia,England,2002,0
Saša Gajser,14,2DF,(1974-02-11)11 February 1974 (aged 28),20,Gent,Slovenia,Belgium,2002,0
Rajko Tavčar,15,3MF,(1974-07-21)21 July 1974 (aged 27),6,1. FC Nürnberg,Slovenia,Germany,2002,0
Senad Tiganj,16,4FW,(1975-08-28)28 August 1975 (aged 26),3,Olimpija Ljubljana,Slovenia,Slovenia,2002,0
Zoran Pavlović,17,3MF,(1976-06-27)27 June 1976 (aged 25),21,Austria Wien,Slovenia,Austria,2002,0
Milenko Ačimovič,18,4FW,(1977-02-15)15 February 1977 (aged 25),39,Red Star Belgrade,Slovenia,Federal Republic of Yugoslavia,2002,0
Amir Karić,19,2DF,(1973-12-31)31 December 1973 (aged 28),43,Maribor,Slovenia,Slovenia,2002,0
Nastja Čeh,20,3MF,(1978-01-26)26 January 1978 (aged 24),6,Club Brugge,Slovenia,Belgium,2002,0
Sebastjan Cimirotič,21,4FW,(1974-09-14)14 September 1974 (aged 27),12,Lecce,Slovenia,Italy,2002,0
Dejan Nemec,22,1GK,(1977-03-01)1 March 1977 (aged 25),1,Club Brugge,Slovenia,Belgium,2002,0
Spasoje Bulajič,23,2DF,(1975-11-24)24 November 1975 (aged 26),15,1. FC Köln,Slovenia,Germany,2002,0
Hans Vonk,1,1GK,(1970-01-30)30 January 1970 (aged 32),29,Heerenveen,South Africa,Netherlands,2002,0
Cyril Nzama,2,2DF,(1974-06-26)26 June 1974 (aged 27),19,Kaizer Chiefs,South Africa,South Africa,2002,0
Bradley Carnell,3,2DF,(1977-01-21)21 January 1977 (aged 25),21,VfB Stuttgart,South Africa,Germany,2002,0
Aaron Mokoena,4,2DF,(1980-11-25)25 November 1980 (aged 21),22,Germinal Beerschot,South Africa,Belgium,2002,0
Jacob Lekgetho,5,2DF,(1974-03-24)24 March 1974 (aged 28),15,Lokomotiv Moscow,South Africa,Russia,2002,0
MacBeth Sibaya,6,3MF,(1977-11-25)25 November 1977 (aged 24),9,Jomo Cosmos,South Africa,South Africa,2002,0
Quinton Fortune,7,3MF,(1977-05-21)21 May 1977 (aged 25),39,Manchester United,South Africa,England,2002,0
Thabo Mngomeni,8,3MF,(1969-06-24)24 June 1969 (aged 32),37,Orlando Pirates,South Africa,South Africa,2002,0
MacDonald Mukansi,9,3MF,(1975-05-26)26 May 1975 (aged 27),7,Lokomotiv Sofia,South Africa,Bulgaria,2002,0
Bennett Mnguni,10,3MF,(1974-03-18)18 March 1974 (aged 28),9,Lokomotiv Moscow,South Africa,Russia,2002,0
Jabu Pule,11,3MF,(1980-07-11)11 July 1980 (aged 21),9,Kaizer Chiefs,South Africa,South Africa,2002,0
Teboho Mokoena,12,3MF,(1974-07-10)10 July 1974 (aged 27),10,St. Gallen,South Africa,Switzerland,2002,0
Pierre Issa,13,2DF,(1975-09-12)12 September 1975 (aged 26),41,Watford,South Africa,England,2002,0
Siyabonga Nomvethe,14,4FW,(1977-12-02)2 December 1977 (aged 24),30,Udinese,South Africa,Italy,2002,0
Sibusiso Zuma,15,3MF,(1975-06-23)23 June 1975 (aged 26),22,Copenhagen,South Africa,Denmark,2002,0
Andre Arendse,16,1GK,(1967-06-27)27 June 1967 (aged 34),49,Santos Cape Town,South Africa,South Africa,2002,0
Benni McCarthy,17,4FW,(1977-11-12)12 November 1977 (aged 24),43,Porto,South Africa,Portugal,2002,0
Delron Buckley,18,3MF,(1977-12-07)7 December 1977 (aged 24),32,VfL Bochum,South Africa,Germany,2002,0
Lucas Radebe (c),19,2DF,(1969-04-12)12 April 1969 (aged 33),65,Leeds United,South Africa,England,2002,0
Calvin Marlin,20,1GK,(1976-04-20)20 April 1976 (aged 26),2,Ajax Cape Town,South Africa,South Africa,2002,0
Steven Pienaar,21,3MF,(1982-03-17)17 March 1982 (aged 20),0,Ajax,South Africa,Netherlands,2002,0
Thabang Molefe,22,2DF,(1979-04-11)11 April 1979 (aged 23),5,Jomo Cosmos,South Africa,South Africa,2002,0
George Koumantarakis,23,4FW,(1974-03-27)27 March 1974 (aged 28),6,Basel,South Africa,Switzerland,2002,0
Iker Casillas,1,1GK,(1981-05-20)20 May 1981 (aged 21),13,Real Madrid,Spain,Spain,2002,0
Curro Torres,2,2DF,(1976-12-27)27 December 1976 (aged 25),4,Valencia,Spain,Spain,2002,0
Juanfran,3,2DF,(1976-07-15)15 July 1976 (aged 25),7,Celta Vigo,Spain,Spain,2002,0
Iván Helguera,4,3MF,(1975-03-18)18 March 1975 (aged 27),22,Real Madrid,Spain,Spain,2002,0
Carles Puyol,5,2DF,(1978-04-13)13 April 1978 (aged 24),8,Barcelona,Spain,Spain,2002,0
Fernando Hierro (c),6,2DF,(1968-03-23)23 March 1968 (aged 34),85,Real Madrid,Spain,Spain,2002,0
Raúl,7,4FW,(1977-06-27)27 June 1977 (aged 24),51,Real Madrid,Spain,Spain,2002,0
Rubén Baraja,8,3MF,(1975-07-11)11 July 1975 (aged 26),9,Valencia,Spain,Spain,2002,0
Fernando Morientes,9,4FW,(1976-04-05)5 April 1976 (aged 26),19,Real Madrid,Spain,Spain,2002,0
Diego Tristán,10,4FW,(1976-01-05)5 January 1976 (aged 26),7,Deportivo La Coruña,Spain,Spain,2002,0
Javier de Pedro,11,3MF,(1973-08-04)4 August 1973 (aged 28),5,Real Sociedad,Spain,Spain,2002,0
Albert Luque,12,4FW,(1978-03-11)11 March 1978 (aged 24),0,Mallorca,Spain,Spain,2002,0
Ricardo,13,1GK,(1971-12-30)30 December 1971 (aged 30),1,Valladolid,Spain,Spain,2002,0
David Albelda,14,3MF,(1977-09-01)1 September 1977 (aged 24),2,Valencia,Spain,Spain,2002,0
Enrique Romero,15,2DF,(1971-06-23)23 June 1971 (aged 30),3,Deportivo La Coruña,Spain,Spain,2002,0
Gaizka Mendieta,16,3MF,(1974-03-27)27 March 1974 (aged 28),32,Lazio,Spain,Italy,2002,0
Juan Carlos Valerón,17,3MF,(1975-06-17)17 June 1975 (aged 26),20,Deportivo La Coruña,Spain,Spain,2002,0
Sergio,18,3MF,(1976-11-10)10 November 1976 (aged 25),5,Deportivo La Coruña,Spain,Spain,2002,0
Xavi,19,3MF,(1980-01-25)25 January 1980 (aged 22),3,Barcelona,Spain,Spain,2002,0
Miguel Ángel Nadal,20,2DF,(1966-07-28)28 July 1966 (aged 35),59,Mallorca,Spain,Spain,2002,0
Luis Enrique,21,3MF,(1970-05-08)8 May 1970 (aged 32),57,Barcelona,Spain,Spain,2002,0
Joaquín,22,3MF,(1981-07-21)21 July 1981 (aged 20),3,Real Betis,Spain,Spain,2002,0
Pedro Contreras,23,1GK,(1972-01-07)7 January 1972 (aged 30),0,Málaga,Spain,Spain,2002,0
Marcos,1,1GK,(1973-08-04)4 August 1973 (aged 28),15,Palmeiras,Brazil,Brazil,2002,0
Cafu (c),2,2DF,(1970-06-07)7 June 1970 (aged 31),103,Roma,Brazil,Italy,2002,0
Lúcio,3,2DF,(1978-05-08)8 May 1978 (aged 24),15,Bayer Leverkusen,Brazil,Germany,2002,0
Roque Júnior,4,2DF,(1976-08-31)31 August 1976 (aged 25),17,Milan,Brazil,Italy,2002,0
Edmílson,5,2DF,(1976-07-10)10 July 1976 (aged 25),12,Lyon,Brazil,France,2002,0
Roberto Carlos,6,2DF,(1973-04-10)10 April 1973 (aged 29),84,Real Madrid,Brazil,Spain,2002,0
Ricardinho,7,3MF,(1976-05-23)23 May 1976 (aged 26),3,Corinthians,Brazil,Brazil,2002,0
Gilberto Silva,8,3MF,(1976-10-07)7 October 1976 (aged 25),6,Atlético Mineiro,Brazil,Brazil,2002,0
Ronaldo,9,4FW,(1976-09-18)18 September 1976 (aged 25),56,Inter Milan,Brazil,Italy,2002,0
Rivaldo,10,3MF,(1972-04-19)19 April 1972 (aged 30),58,Barcelona,Brazil,Spain,2002,0
Ronaldinho,11,3MF,(1980-03-21)21 March 1980 (aged 22),24,Paris Saint-Germain,Brazil,France,2002,0
Dida,12,1GK,(1973-10-07)7 October 1973 (aged 28),49,Corinthians,Brazil,Brazil,2002,0
Juliano Belletti,13,2DF,(1976-06-20)20 June 1976 (aged 25),10,São Paulo,Brazil,Brazil,2002,0
Ânderson Polga,14,2DF,(1979-02-09)9 February 1979 (aged 23),5,Grêmio,Brazil,Brazil,2002,0
Kléberson,15,3MF,(1979-06-19)19 June 1979 (aged 22),5,Atlético Paranaense,Brazil,Brazil,2002,0
Júnior,16,2DF,(1973-06-20)20 June 1973 (aged 28),12,Parma,Brazil,Italy,2002,0
Denílson,17,4FW,(1977-08-24)24 August 1977 (aged 24),53,Real Betis,Brazil,Spain,2002,0
Vampeta,18,3MF,(1974-03-13)13 March 1974 (aged 28),36,Corinthians,Brazil,Brazil,2002,0
Juninho Paulista,19,3MF,(1973-02-22)22 February 1973 (aged 29),43,Flamengo,Brazil,Brazil,2002,0
Edílson,20,4FW,(1971-09-17)17 September 1971 (aged 30),17,Cruzeiro,Brazil,Brazil,2002,0
Luizão,21,4FW,(1975-11-14)14 November 1975 (aged 26),8,Grêmio,Brazil,Brazil,2002,0
Rogério Ceni,22,1GK,(1973-01-22)22 January 1973 (aged 29),12,São Paulo,Brazil,Brazil,2002,0
Kaká,23,3MF,(1982-04-22)22 April 1982 (aged 20),2,São Paulo,Brazil,Brazil,2002,0
An Qi,1,1GK,(1981-06-21)21 June 1981 (aged 20),5,Dalian Shide,China PR,China,2002,0
Zhang Enhua,2,2DF,(1973-04-28)28 April 1973 (aged 29),65,Dalian Shide,China PR,China,2002,0
Yang Pu,3,2DF,(1978-03-30)30 March 1978 (aged 24),14,Beijing Guoan,China PR,China,2002,0
Wu Chengying,4,2DF,(1975-04-21)21 April 1975 (aged 27),53,Shanghai Shenhua,China PR,China,2002,0
Fan Zhiyi,5,2DF,(1969-11-06)6 November 1969 (aged 32),105,Dundee,China PR,Scotland,2002,0
Shao Jiayi,6,3MF,(1980-04-10)10 April 1980 (aged 22),18,Beijing Guoan,China PR,China,2002,0
Sun Jihai,7,2DF,(1977-09-30)30 September 1977 (aged 24),59,Manchester City,China PR,England,2002,0
Li Tie,8,3MF,(1977-05-18)18 May 1977 (aged 25),76,Liaoning,China PR,China,2002,0
Ma Mingyu (c),9,3MF,(1970-02-04)4 February 1970 (aged 32),91,Sichuan First City,China PR,China,2002,0
Hao Haidong,10,4FW,(1970-05-09)9 May 1970 (aged 32),95,Dalian Shide,China PR,China,2002,0
Yu Genwei,11,3MF,(1974-01-07)7 January 1974 (aged 28),17,Tianjin Teda,China PR,China,2002,0
Su Maozhen,12,4FW,(1972-07-30)30 July 1972 (aged 29),43,Shandong Luneng,China PR,China,2002,0
Gao Yao,13,3MF,(1977-07-13)13 July 1977 (aged 24),4,Shandong Luneng,China PR,China,2002,0
Li Weifeng,14,2DF,(1978-12-01)1 December 1978 (aged 23),55,Shenzhen Pingan,China PR,China,2002,0
Zhao Junzhe,15,3MF,(1979-04-18)18 April 1979 (aged 23),13,Liaoning,China PR,China,2002,0
Qu Bo,16,4FW,(1981-07-15)15 July 1981 (aged 20),16,Qingdao Etsong Hainiu,China PR,China,2002,0
Du Wei,17,2DF,(1982-02-09)9 February 1982 (aged 20),7,Shanghai Shenhua,China PR,China,2002,0
Li Xiaopeng,18,3MF,(1975-06-20)20 June 1975 (aged 26),26,Shandong Luneng,China PR,China,2002,0
Qi Hong,19,3MF,(1976-06-03)3 June 1976 (aged 25),36,Shanghai COSCO Huili,China PR,China,2002,0
Yang Chen,20,4FW,(1974-01-17)17 January 1974 (aged 28),26,Eintracht Frankfurt,China PR,Germany,2002,0
Xu Yunlong,21,2DF,(1979-02-17)17 February 1979 (aged 23),20,Beijing Guoan,China PR,China,2002,0
Jiang Jin,22,1GK,(1968-10-07)7 October 1968 (aged 33),52,Tianjin Teda,China PR,China,2002,0
Ou Chuliang,23,1GK,(1968-08-26)26 August 1968 (aged 33),74,Yunnan Hongta,China PR,China,2002,0
Erick Lonnis (c),1,1GK,(1965-09-09)9 September 1965 (aged 36),74,Saprissa,Costa Rica,Costa Rica,2002,0
Jervis Drummond,2,2DF,(1976-09-08)8 September 1976 (aged 25),38,Saprissa,Costa Rica,Costa Rica,2002,0
Luis Marín,3,2DF,(1974-08-10)10 August 1974 (aged 27),74,Alajuelense,Costa Rica,Costa Rica,2002,0
Mauricio Wright,4,2DF,(1970-12-20)20 December 1970 (aged 31),40,Herediano,Costa Rica,Costa Rica,2002,0
Gilberto Martínez,5,2DF,(1979-10-01)1 October 1979 (aged 22),27,Saprissa,Costa Rica,Costa Rica,2002,0
Wílmer López,6,3MF,(1971-03-08)8 March 1971 (aged 31),68,Alajuelense,Costa Rica,Costa Rica,2002,0
Rolando Fonseca,7,4FW,(1974-06-06)6 June 1974 (aged 27),79,Alajuelense,Costa Rica,Costa Rica,2002,0
Mauricio Solís,8,3MF,(1972-12-13)13 December 1972 (aged 29),84,Alajuelense,Costa Rica,Costa Rica,2002,0
Paulo Wanchope,9,4FW,(1976-07-31)31 July 1976 (aged 25),48,Manchester City,Costa Rica,England,2002,0
Walter Centeno,10,3MF,(1974-10-06)6 October 1974 (aged 27),49,Saprissa,Costa Rica,Costa Rica,2002,0
Rónald Gómez,11,4FW,(1975-01-24)24 January 1975 (aged 27),53,OFI Crete,Costa Rica,Greece,2002,0
Winston Parks,12,4FW,(1981-10-12)12 October 1981 (aged 20),3,Udinese,Costa Rica,Italy,2002,0
Daniel Vallejos,13,2DF,(1981-05-27)27 May 1981 (aged 21),2,Herediano,Costa Rica,Costa Rica,2002,0
Juan José Rodríguez,14,2DF,(1967-06-23)23 June 1967 (aged 34),2,San Carlos,Costa Rica,Costa Rica,2002,0
Harold Wallace,15,2DF,(1975-09-07)7 September 1975 (aged 26),54,Alajuelense,Costa Rica,Costa Rica,2002,0
Steven Bryce,16,4FW,(1977-08-16)16 August 1977 (aged 24),33,Alajuelense,Costa Rica,Costa Rica,2002,0
Hernán Medford,17,3MF,(1968-05-23)23 May 1968 (aged 34),87,Saprissa,Costa Rica,Costa Rica,2002,0
Álvaro Mesén,18,1GK,(1972-12-24)24 December 1972 (aged 29),16,Alajuelense,Costa Rica,Costa Rica,2002,0
